    0.0833   -5.7035
    0.1667   -4.5935
    0.2500   -5.0735
    0.3333   -3.6435
    0.4167   -2.8635
    0.5000   -2.8935
    0.5833   -4.9835
    0.6667   -6.6835
    0.7500   -7.9235
    0.8333   -8.0935
    0.9167   -6.3635
    1.0000   -4.8435
    1.0833   -4.3635
    1.1667   -3.5235
    1.2500   -2.8335
    1.3333   -0.5335
    1.4167    0.1765
    1.5000   -0.1535
    1.5833   -2.0035
    1.6667   -4.1535
    1.7500   -5.3335
    1.8333   -5.0135
    1.9167   -3.3735
    2.0000   -1.9735
    2.0833   -1.0335
    2.1667    0.7165
    2.2500    1.5465
    2.3333    2.6765
    2.4167    3.0665
    2.5000    3.0765
    2.5833    1.7165
    2.6667   -0.8435
    2.7500   -1.8035
    2.8333   -1.4535
    2.9167    0.0165
    3.0000    1.5665
    3.0833    2.8165
    3.1667    3.2565
    3.2500    4.3165
    3.3333    5.8065
    3.4167    6.6765
    3.5000    5.7765
    3.5833    4.0365
    3.6667    1.6465
    3.7500    0.5365
    3.8333    1.0365
    3.9167    2.6265
    4.0000    3.6565
    4.0833    4.7865
    4.1667    5.5165
    4.2500    6.3165
    4.3333    7.2865
    4.4167    8.5065
    4.5000    7.6065
    4.5833    5.2865
